Depth (cm)	EM3
682.25	0.12425374
682.75	0.093763128
683.25	0.12202714
683.75	0.12968435
684.25	0.11728214
684.75	0.059043265
685.25	0.09102322
685.75	0.14612036
686.25	0.15881735
686.75	0.15028365
687.25	0.18390859
687.75	0.13936108
688.25	0.073777007
688.75	0.024400322
689.25	0.087488366
689.75	0.12425408
690.25	0.10938885
690.75	0.14973095
691.25	0.17215593
691.75	0.077141538
692.25	0.038552986
692.75	0.12556363
693.25	0.098580228
693.75	0.18763934
694.25	0.10724427
694.75	0.17868905
695.25	0.15896185
695.75	0.28489929
696.25	0.38122621
696.75	0.27907089
697.25	0.25582712
697.75	0.1367331
698.25	0.086377569
698.75	0.1385475
699.25	0.0034214591
699.75	0.087203385
700.25	0.0093426392
700.75	0.066852746
701.25	0.075528643
701.75	0.11718729
702.25	0.050441008
702.75	0.11740328
703.25	0.13637338
703.75	0.14451444
704.25	0.070129018
704.75	0.0072915566
705.25	0.053743803
705.75	0.084601967
706.25	0.11658785
706.75	0.12311359
707.25	0.1647628
707.75	0.1893261
708.25	0.18209467
708.75	0.18024758
709.25	0.17511087
709.75	0.18037271
