Depth (cm)	EM3
154.25	0.015029994
154.75	0.045968519
155.25	0.0096251008
155.75	0.010331418
156.25	0.011354217
156.75	0.0056872502
157.25	0.012495806
157.75	0.027296105
158.25	0.0077792624
158.75	0.0073116594
159.25	0.035482969
159.75	0.029388175
160.25	0.0048844596
160.75	0.0071559478
161.25	0.0041408041
161.75	0.014340416
162.25	0.014632374
162.75	0.016876811
163.25	0.039190753
163.75	0.037826103
164.25	0.027645281
164.75	0.025433697
165.25	0.02852011
165.75	0.066067647
166.25	0.10681168
166.75	0.046529296
167.25	0.043950453
167.75	0.014754442
168.25	0.046825878
168.75	0.038384147
169.25	0.056219528
169.75	0.080140068
170.25	0.053411931
170.75	0.0072698585
171.25	0.0055281035
171.75	0.0054363555
172.25	0.005579099
172.75	0.0044233059
173.25	0.0039719583
173.75	0.0044923787
174.25	0.0036451134
174.75	0.0016602532
175.25	0.0029816891
175.75	0.0030211785
176.25	0.0039601718
176.75	0.010808139
177.25	0.02201898
177.75	0.0036324762
178.25	0.013240046
178.75	0.031802603
179.25	0.0062240678
179.75	0.0011935642
180.25	0.0045343692
180.75	0.0023592513
181.25	0.0021658572
181.75	0.0018101603
182.25	0.0027060117
182.75	0.0021898036
183.25	0.0032016957
183.75	0.01448622
184.25	0.003839503
184.75	0.0027051805
185.25	0.0019267028
185.75	0.0036401867
186.25	0.011563122
186.75	0.012836008
187.25	0.0059389315
187.75	0.036781686
188.25	0.023813632
188.75	0.018413654
189.25	0.021341625
189.75	0.0060262467
190.25	0.003000962
190.75	0.0051616356
191.25	0.009988941
191.75	0.015355381
192.25	0.050502652
192.75	0.0043181798
193.25	0.074471255
193.75	0.053360024
194.25	0.073951624
194.75	0.12648231
195.25	0.063133347
195.75	0.064498779
196.25	0.046754698
196.75	0.016674231
197.25	0.013307053
197.75	0.0096577234
198.25	0.0076249037
198.75	0.0081668384
199.25	0.0074424608
199.75	0.0057489365
200.25	0.0035953704
200.75	0.025690162
201.25	0.016057579
201.75	0.011838828
202.25	0.013344286
202.75	0.027783163
203.25	0.072896505
203.75	0.077884409
204.25	0.14044245
204.75	0.095031074
205.25	0.010761331
205.75	0.0071558031
206.25	0.0072877117
206.75	0.0092675387
207.25	0.053171491
207.75	0.01460506
208.25	0.012748634
208.75	0.0085869136
209.25	0.0051778557
209.75	0.017033121
210.25	0.017624057
210.75	0.034795558
211.25	0.02253254
211.75	0.01725152
212.25	0.064806742
212.75	0.009837241
213.25	0.035863215
213.75	0.013308792
214.25	0.0080614227
214.75	0.020848221
215.25	0.0081314675
215.75	0.0051973533
216.25	0.0053197165
216.75	0.0042519386
217.25	0.009751625
217.75	0.010493889
218.25	0.0080041988
218.75	0.0048945216
219.25	0.0035478359
219.75	0.0062653114
220.25	0.0076550608
220.75	0.020110725
221.25	0.0046089629
221.75	0.0050600518
222.25	0.0030106975
222.75	0.030380339
223.25	0.0065987184
223.75	0.0072285321
224.25	0.0050303361
224.75	0.0094082068
225.25	0.037002275
225.75	0.044976144
226.25	0.0062532423
226.75	0.04177773
227.25	0.028116932
227.75	0.009349758
228.25	0.0025668602
228.75	0.021625811
229.25	0.0019673116
229.75	0.0091392972
230.25	0.0046274161
230.75	0.007277625
231.25	0.0076938115
231.75	0.0019006088
232.25	0.0045365776
232.75	0.0061865515
233.25	0.010675505
233.75	0.0016175125
234.25	0.0046987469
234.75	0.0072335848
235.25	0.0042577863
235.75	0.010095038
236.25	0.027522152
236.75	0.0201002
237.25	0.028745338
237.75	0.020141113
238.25	0.0047373241
238.75	0.0025405175
239.25	0.0015480621
239.75	0.016150982
240.25	0.030477236
240.75	0.053168427
241.25	0.0029812535
241.75	0.055072361
242.25	0.038127834
242.75	0.011998667
243.25	0.056845194
243.75	0.042478235
244.25	0.011459673
244.75	0.017976269
245.25	0.0065060127
245.75	0.041533194
246.25	0.0029899913
246.75	0.010607521
247.25	0.0077386212
247.75	0.044885253
248.25	0.0027326624
248.75	0.085341097
249.25	0.065820993
249.75	0.056684263
250.25	0.052972655
250.75	0.038350354
251.25	0.043558845
251.75	0.092761641
252.25	0.091115309
252.75	0.0040469635
253.25	0.085836089
253.75	0.066658299
254.25	0.057794819
254.75	0.082923985
255.25	0.015269219
255.75	0.092910627
256.25	0.074021957
256.75	0.090074399
257.25	0.0468549
257.75	0.021362121
258.25	0.066723181
258.75	0.044677375
259.25	0.065779826
259.75	0.0017385999
260.25	0.04217363
260.75	0.03090085
261.25	0.11942861
261.75	0.0097738404
262.25	0.03355228
262.75	0.029138396
263.25	0.037694228
263.75	0.0024193896
264.25	0.0023960636
264.75	0.0069882537
265.25	0.046841132
265.75	0.031428795
266.25	0.11265244
266.75	0.071894862
267.25	0.097047412
267.75	0.048130333
268.25	0.094116153
268.75	0.048621055
269.25	0.042787914
269.75	0.078916812
270.25	0.040978617
270.75	0.044125043
271.25	0.057280868
271.75	0.060825804
272.25	0.010954275
272.75	0.020155022
273.25	0.051432699
273.75	0.013520612
274.25	0.01014955
274.75	0.013098974
275.25	0.048968514
275.75	0.02928054
276.25	0.049447471
276.75	0.056342162
277.25	0.047787296
277.75	0.066107468
278.25	0.041187963
278.75	0.0060014722
279.25	0.0445608
279.75	0.034525863
280.25	0.050990382
280.75	0.011463063
281.25	0.087574975
281.75	0.0074275132
282.25	0.06039628
282.75	0.030393719
283.25	0.047456517
283.75	0.027059345
284.25	0.046091828
284.75	0.070576925
285.25	0.0048540533
285.75	0.046814905
286.25	0.032942676
286.75	0.025819733
287.25	0.027321691
287.75	0.0049474092
288.25	0.0072801837
288.75	0.0030850647
289.25	0.0099574636
289.75	0.033110879
290.25	0.038546979
290.75	0.025879163
291.25	0.0043168049
291.75	0.020200105
292.25	0.033726891
292.75	0.03243198
293.25	0.021999067
293.75	0.02879058
294.25	0.06319189
294.75	0.027516679
295.25	0.011467701
295.75	0.016045858
296.25	0.0021966623
296.75	0.0097376282
297.25	0.057353691
297.75	0.019111087
298.25	0.032871785
298.75	0.01327155
299.25	0.0057594427
299.75	0.0045776467
300.25	0.011587701
300.75	0.0051651997
301.25	0.0068506591
301.75	0.025476602
302.25	0.010211488
302.75	0.0022102188
303.25	0.0116318
303.75	0.082356686
304.25	0.0053015185
304.75	0.0071372986
305.25	0.011235683
305.75	0.041247011
306.25	0.06952994
306.75	0.029720933
307.25	0.036605314
307.75	0.026419608
308.25	0.0099795214
308.75	0.011345786
309.25	0.0024830496
309.75	0.0071018235
310.25	0.025472223
310.75	0.0070786175
311.25	0.01212889
311.75	0.038599863
312.25	0.0038024301
312.75	0.032763426
313.25	0.0035903002
313.75	0.0028991992
314.25	0.022239692
314.75	0.0030136438
315.25	0.0026181383
315.75	0.035121165
316.25	0.033487036
316.75	0.039320929
317.25	0.057730655
317.75	0.25793132
318.25	0.038915916
318.75	0.03571088
319.25	0.0025789485
319.75	0.031740638
320.25	0.044749693
320.75	0.0064730623
321.25	0.0069661322
321.75	0.032115052
322.25	0.014777405
322.75	0.026864064
323.25	0.0045804453
323.75	0.028578204
324.25	0.010340743
324.75	0.051357399
325.25	0.0083449764
325.75	0.013140115
326.25	0.0031799649
326.75	0.0042375653
327.25	0.0076357528
327.75	0.0028252535
328.25	0.062571274
328.75	0.0055531907
329.25	0.025387604
329.75	0.0054749921
330.25	0.0079166935
330.75	0.034470293
331.25	0.027942935
331.75	0.0018551498
332.25	0.03009167
332.75	0.026484465
333.25	0.010161667
333.75	0.096719534
334.25	0.01891923
334.75	0.087759157
335.25	0.046107555
335.75	0.029043694
336.25	0.020653123
336.75	0.013646921
337.25	0.0018804087
337.75	0.019555919
338.25	0.017756923
338.75	0.056338566
339.25	0.0047277629
339.75	0.028965668
340.25	0.086444181
340.75	0.0014520015
341.25	0.037597823
341.75	0.0020017315
342.25	0.036696134
342.75	0.02656667
343.25	0.025688435
343.75	0.020005714
344.25	0.024710577
344.75	0.0019585333
345.25	0.0025173427
345.75	0.023912037
346.25	0.0016065259
346.75	0.0039036951
347.25	0.0047155815
347.75	0.0050221172
348.25	0.048094604
348.75	0.0046477744
349.25	0.011039792
349.75	0.047140129
350.25	0.035768073
350.75	0.011189762
351.25	0.004475525
351.75	0.0046959509
352.25	0.020014621
352.75	0.029057931
353.25	0.0076826422
353.75	0.043051653
354.25	0.0058498984
354.75	0.0083645154
355.25	0.011871467
355.75	0.015395612
356.25	0.0017686498
356.75	0.0063223543
357.25	0.028032941
357.75	0.014235913
