Age	Age_error
1995	7
1966	8
1955	3
1934	4
1931	3
1928	3
1927	4
1921	3
1918	4
1916	6
1913	6
1911	7
1909	8
1904	9
1880	14
1857	18
1853	19
1844	19
1822	22
1816	22
1783	25
1778	26
1777	26
1770	28
1766	29
1762	30
1758	31
1754	32
1751	33
1750	33
1746	34
1743	35
1740	36
1738	36
1733	37
