Depth_cm	EM3
0.25	0.00370108895977218
0.75	0.00469859599498415
1.25	0.0424925685643712
1.75	0.00110867245252906
2.25	0.00327643864491993
2.75	0.00316330778717266
3.25	0.0042501728725962
3.75	0.00151649128866771
4.25	0.00697805797008493
4.75	0.00332965482739286
5.25	0.00318533478461395
5.75	0.00364993614597821
6.25	0.00419129274340737
6.75	0.00157148645761267
7.25	0.00607246686559245
7.75	0.00290704556204914
8.25	0.00449650577628515
8.75	0.0038082548304641
9.25	0.00268391890863621
9.75	0.00295746168004887
10.25	0.00135584393810833
10.75	0.000453396485385679
11.25	0.00638078363133755
11.75	0.00436808842901556
12.25	0.000488146048169815
12.75	0.00113079693955664
13.25	0.0771705336099704
13.75	0.00658151563056482
14.25	0.00670256851149181
14.75	0.00653861013503814
15.25	0.00310331694760524
15.75	0.00477375140172774
16.25	0.00672280054456584
16.75	0.00290889705670823
17.25	0.00403186866350828
17.75	0.00171685868276418
18.25	0.000511724575995628
18.75	0.00411039005168765
19.25	0.00637564861587793
19.75	0.00143169430664888
20.25	0.000652424809399848
20.75	0.00487848804398497
21.25	0.00157748708374729
21.75	0.000577214180038783
22.25	0.00225530498755486
22.75	0.000507334339257349
23.25	0.00203495708456997
23.75	0.00710487799297034
24.25	0.0127221020794255
24.75	0.0070817970846718
25.25	0.00959966979357418
25.75	0.0148641383516843
26.25	0.109853843044418
26.75	0.0722987946670433
27.25	0.0192002075696544
27.75	0.00638002911594873
28.25	0.00683266151730598
28.75	0.098874861443117
29.25	0.099226862697517
29.75	0.0918683488181871
30.25	0.0646554947525221
30.75	0.133382180951354
31.25	0.230370969827878
31.75	0.263109856249154
32.25	0.278633213251496
32.75	0.242814898389046
33.25	0.0839624431173551
33.75	0.031024442767977
34.25	0.0766039767365436
34.75	0.0538669186705763
35.25	0.106637203464009
35.75	0.0235068778233632
36.25	0.0119393399886053
36.75	0.00567634705766773
37.25	0.0929595480973791
37.75	0.0790588354017259
38.25	0.0814350757821208
38.75	0.00681398214729753
39.25	0.00354861921539466
39.75	0.0194298003977162
40.25	0.00426859866199981
40.75	0.00534179169955858
41.25	0.0107089885808164
41.75	0.0251744990457774
42.25	0.00676778091075419
42.75	0.0686100063516651
43.25	0.00974628274167608
43.75	0.0123111915035096
44.25	0.00394184490676475
44.75	0.0101830287013107
45.25	0.0159547405452595
45.75	0.00629394704732509
46.25	0.0212188291736353
46.75	0.0133243890580847
47.25	0.00721097487329114
47.75	0.0103539019434421
48.25	0.00773248561166435
48.75	0.0533575115484683
49.25	0.0213463078250513
49.75	0.00368494486633046
50.25	0.00269040471073566
50.75	0.0530406626313323
51.25	0.128744523893238
51.75	0.302345796033944
52.25	0.411969557206962
52.75	0.234961763016568
53.25	0.247157874308966
53.75	0.137737895694466
54.25	0.483786598577928
54.75	0.575619668496408
55.25	0.842038569105616
55.75	0.457774880112534
56.25	0.627100674936992
56.75	0.471268689757705
57.25	0.0291331855514136
57.75	0.0217489239799509
58.25	0.0033996011452767
58.75	0.0428472985691213
59.25	0.23475868864311
59.75	0.304736090381121
60.25	0.294356199295685
60.75	0.250398480563981
61.25	0.165967463292231
61.75	0.251064624762279
62.25	0.00769783291408622
62.75	0.00489232718597729
63.25	0.00960170927101139
63.75	0.00532384388850007
64.25	0.0580448900747721
64.75	0.00812871612139015
65.25	0.0371029771045078
65.75	0.206742847652912
66.25	0.218839764747393
66.75	0.309904251941502
67.25	0.319131486239566
67.75	0.324040671887417
68.25	0.386055554216126
68.75	0.614827629447536
69.25	0.90697383599826
69.75	0.754127807936393
70.25	0.842496990533701
70.75	0.568795100381892
71.25	0.45182301590545
71.75	0.300983712442495
72.25	0.478310549019348
72.75	0.330593134896001
73.25	0.0230538046971557
73.75	0.289130924235692
74.25	0.439855068857858
74.75	0.1861676147845
75.25	0.16737474499409
75.75	0.174183793984827
76.25	0.318926273583867
76.75	0.417249113751025
77.25	0.392362103490094
77.75	0.31165586750301
78.25	0.245803341921081
78.75	0.266012256037966
79.25	0.0966369523256265
79.75	0.0608919571990502
80.25	0.0166889875261625
80.75	0.1086285192593
81.25	0.254016789209696
81.75	0.0312110667339375
82.25	0.00199407275216946
82.75	0.00309443667136206
83.25	0.0398687015286282
83.75	0.00113543537552031
84.25	0.00425512639287709
84.75	0.0480383771978571
85.25	0.218471831354224
85.75	0.0981812972111794
86.25	0.088342778148739
86.75	0.100404347146004
87.25	0.00623649502814621
87.75	0.00155414397426681
88.25	0.00696396376405741
88.75	0.00446976672142958
89.25	0.00487084414806287
89.75	0.00297140549102173
90.25	0.00202199410876856
90.75	0.00825937915662479
91.25	0.00208292102554888
91.75	0.00702766857111538
92.25	0.00920783781537249
92.75	0.00438731262250553
93.25	0.00219421947485232
93.75	0.00718855932419086
94.25	0.0687291962448121
94.75	0.0471016733213217
95.25	0.0229945305604554
95.75	0.0331699773250641
96.25	0.014516513347383
96.75	0.0048776613472701
97.25	0.0746331351527114
97.75	0.00544945423648066
98.25	0.00860032034818975
98.75	0.0415780206120975
99.25	0.00399774298685588
99.75	0.00948597468401059
100.25	0.00515974268059703
100.75	0.00419063292209933
101.25	0.00129004860029038
101.75	0.00234384330788563
102.25	0.0254536906386698
102.75	0.0329590192191495
103.25	0.00461124123095567
103.75	0.00372844152200057
104.25	0.00367687304135649
104.75	0.00221808985675367
105.25	0.0101396018605017
105.75	0.00182137370709929
106.25	0.0527479994018032
106.75	0.0314079686051345
107.25	0.00831170358240397
107.75	0.0124646187758337
108.25	0.0349522705375476
108.75	0.0113420260911388
109.25	0.101982794880845
109.75	0.0474815200396706
110.25	0.0937538478325657
110.75	0.0425623140040016
111.25	0.00520149959795741
111.75	0.105842724889514
112.25	0.0916125426623513
112.75	0.0320390887911636
113.25	0.00308284432750072
113.75	0.060528364287594
114.25	0.0664591193524926
114.75	0.0165911711165181
115.25	0.00440101990860941
115.75	0.00205787243236572
116.25	0.0375322804277682
116.75	0.0549747144238433
117.25	0.0803559641719566
117.75	0.0531705138218755
118.25	0.000933609074488229
118.75	0.00363991740810862
119.25	0.00765033622420259
119.75	0.00450037444253483
120.25	0.00468917995038452
120.75	0.0224793031658961
121.25	0.103720933906481
121.75	0.0804598190635313
122.25	0.106360231395689
122.75	0.0841454633996179
123.25	0.0886117147343752
123.75	0.0111705479042009
124.25	0.0872252839070176
124.75	0.00337469123067132
125.25	0.00299413215012006
125.75	0.00290262336141996
126.25	0.0026853967583755
126.75	0.0511061914160993
127.25	0.0373516901083943
127.75	0.0842532897759227
128.25	0.0398707274778314
128.75	0.0728100007530904
129.25	0.0116545183189606
129.75	0.037465741796404
130.25	0.00156214232918562
130.75	0.055215279127297
131.25	0.141753280924205
131.75	0.0369767431392125
132.25	0.00518125015715929
132.75	0.00782506561091329
133.25	0.0785356733500301
133.75	0.00459950269783452
134.25	0.00124967772925008
134.75	0.00143391913622999
135.25	0.0886097962131166
135.75	0.00202265115220124
136.25	0.00224313026536684
136.75	0.0111023651569092
137.25	0.00365179490336931
137.75	0.00427438166757718
138.25	0.00340044990016199
138.75	0.00332153141161785
139.25	0.00224527425747948
139.75	0.0014764566995383
140.25	0.00209923802969387
140.75	0.0021709266086105
141.25	0.00214194334371456
141.75	0.0018664806919312
142.25	0.0013328499015378
142.75	0.00195968591738088
143.25	0.0047583735040205
143.75	0.135676452898468
144.25	0.00445595269323323
144.75	0.00489717227160588
145.25	0.00555309417796597
145.75	0.0130384829775044
146.25	0.031815026869052
146.75	0.0475152002324736
147.25	0.00534020095910852
147.75	0.00234018391567753
148.25	0.00252262169139941
148.75	0.00531280976749049
149.25	0.00357697159831432
149.75	0.00301540215108493
150.25	0.00127982652123055
150.75	0.0104830704642839
151.25	0.00177699396005441
151.75	0.00225521539552871
152.25	0.0021345123395107
152.75	0.00172487617019079
153.25	0.00167100515082314
153.75	0.00320156426696222
154.25	0.00362853942847746
154.75	0.00672435671438573
155.25	0.0221721991941419
155.75	0.0194966610722831
156.25	0.0511366444474667
156.75	0.0491883123164837
157.25	0.0082576873625334
157.75	0.00437128453018285
158.25	0.0055513904831274
158.75	0.00186368759348904
159.25	0.0014243124634653
159.75	0.00234681917183846
160.25	0.0322231879715628
160.75	0.00302132133413563
161.25	0.00301239860838332
161.75	0.00551808514528614
162.25	0.00180507680000646
162.75	0.00203346947647277
163.25	0.00119594090538455
163.75	0.0231477951303732
164.25	0.0176183668890305
164.75	0.0191421839747184
165.25	0.074944054184667
165.75	0.0198519707655246
166.25	0.00410955126927398
166.75	0.00482085023621426
167.25	0.00242103936391775
167.75	0.00471054773870885
168.25	0.00711516615129041
168.75	0.00515059743512573
169.25	0.00974615903799949
169.75	0.00515959559224793
170.25	0.00714044016429546
170.75	0.0232047323765362
171.25	0.0692589394101944
171.75	0.0874772864189835
172.25	0.0229506636168864
172.75	0.00660061803690496
173.25	0.0455277678326132
173.75	0.0148056942980041
174.25	0.0245078815116451
174.75	0.0298414769218213
175.25	0.0735578654199991
175.75	0.0158971890105462
176.25	0.00156320099956275
176.75	0.0420873963429336
177.25	0.00244322697331343
177.75	0.00808504759267289
178.25	0.00243705679152981
178.75	0.00317698751734919
179.25	0.000711577848128665
179.75	0.0374911970806634
180.25	0.000503112181739572
180.75	0.00520595136485144
181.25	0.0443795918958841
181.75	0.0445089619061405
182.25	0.0574191017186254
182.75	0.0113199645810359
183.25	0.0149833232742316
183.75	0.0823763734103556
184.25	0.0673984496650406
184.75	0.0898599871591019
185.25	0.0290825780908018
185.75	0.00971604678498702
186.25	0.0371478939271243
186.75	0.0514041198210879
187.25	0.0187073272655732
187.75	0.0377289880890999
188.25	0.0842626764272126
188.75	0.00735842350414347
189.25	0.0570990738930669
189.75	0.0153143317348766
190.25	0.0796449000918246
190.75	0.00630122732998354
191.25	0.0665618746354522
191.75	0.0733705849672545
192.25	0.0430505439765215
192.75	0.0979089229087953
193.25	0.0871100450481747
193.75	0.057967104941616
194.25	0.0665241029926782
194.75	0.055699759830629
195.25	0.0835252504266887
195.75	0.0506047012979009
