Depth_cm	EM3
0.25	0.563307701330902
0.75	0.507813906670041
1.25	0.449897236436045
1.75	0.449293307496478
2.25	0.308822214515252
2.75	0.364654165608292
3.25	0.442078625841576
3.75	0.331093147129374
4.25	0.371019081190154
4.75	0.258282315502722
5.25	0.280704523953578
5.75	0.307528976403232
6.25	0.304107248524082
6.75	0.379367061108588
7.25	0.287262841545591
7.75	0.348039042859307
8.25	0.27943458317943
8.75	0.0992158212536978
9.25	0.19954625506318
9.75	0.165472405248658
10.25	0.108427112967889
10.75	0.143303095759482
11.25	0.148011549494308
11.75	0.178363052954054
12.25	0.0581439964280947
12.75	0.146918913219572
13.25	0.131975865784089
13.75	0.178260415093996
14.25	0.181555282376422
14.75	0.146861757298263
15.25	0.123428792876032
15.75	0.19273626356355
16.25	0.130262350778708
16.75	0.20988811778386
17.25	0.148856658135185
17.75	0.00275794498493955
18.25	0.157468149414878
18.75	0.101201955417501
19.25	0.126293020795587
19.75	0.105826785774327
20.25	0.204782753638863
20.75	0.162382416881058
21.25	0.204843840331756
21.75	0.202778153622406
22.25	0.211194501156453
22.75	0.14121701383654
23.25	0.128213513755427
23.75	0.138277218067376
24.25	0.1917566633282
24.75	0.204134853735752
25.25	0.205253562890991
25.75	0.224664584464096
26.25	0.219360545008129
26.75	0.247082839950051
27.25	0.250147517726991
27.75	0.238285167154856
28.25	0.248206740752824
28.75	0.28021254824066
29.25	0.330772734807701
29.75	0.405789265804895
30.25	0.310138430519281
30.75	0.484252472898044
31.25	0.438022683279918
31.75	0.531145331309584
32.25	0.201727330948063
32.75	0.186367507811163
33.25	0.20207561361257
33.75	0.201657257056003
34.25	0.277885695992541
34.75	0.00965190455719233
35.25	0.382174216514556
35.75	0.501207717257566
36.25	0.142400250435293
36.75	0.117059883184618
37.25	0.0611756486522321
37.75	0.293931989286429
38.25	0.105258437974108
38.75	0.114899675028608
39.25	0.055817419444301
39.75	0.0975515737380923
40.25	0.0697538793863486
40.75	0.134862922629711
41.25	0.148389330001799
41.75	0.162430647749227
42.25	0.123806710727136
42.75	0.170672185385547
43.25	0.127924675521616
43.75	0.0956022762881829
44.25	0.139419563061131
44.75	0.150245314623486
45.25	0.184148883511552
45.75	0.139634739837211
46.25	0.600103787456497
46.75	0.936960466502703
47.25	0.827544974298692
47.75	0.640885146194897
48.25	0.368570063487156
48.75	0.296685853338008
49.25	0.117982206091009
49.75	0.0237613605731362
50.25	0.0216509649890308
50.75	0.0189496611874968
51.25	0.031250624861137
51.75	0.0409780054706824
52.25	0.0147656242121994
52.75	0.0178344570828489
53.25	0.0501803620963319
53.75	0.106972991499504
54.25	0.0127273356700128
54.75	0.393422514704743
55.25	0.40606483328674
55.75	0.594217305340896
56.25	0.159661500597148
56.75	0.0135837792429936
57.25	0.0171500944822389
57.75	0.0142869893342814
58.25	0.0140997489747696
58.75	0.0144161433497019
59.25	0.015286239984645
59.75	0.0137481299194893
60.25	0.0147257519217263
60.75	0.0150908520553808
61.25	0.0156646837982017
61.75	0.015872167387488
62.25	0.012281215064257
62.75	0.0091173120213065
63.25	0.0109119989627639
63.75	0.00802987954259201
64.25	0.00925225729701561
64.75	0.00808507297023873
65.25	0.00769023943430527
65.75	0.00649135358078637
66.25	0.00896267706739971
66.75	0.0105943702385833
67.25	0.0182164643600759
67.75	0.0147107735575437
68.25	0.0188389902790543
68.75	0.00718840194711632
69.25	0.0204581694283178
69.75	0.0157826935299483
70.25	0.0131172186733198
70.75	0.0126106634942088
71.25	0.0117792517801095
71.75	0.0273818120137713
72.25	0.0159999494318273
72.75	0.00789680084670164
73.25	0.0145594831834621
73.75	0.0149330678971753
74.25	0.0176638620640941
74.75	0.0157276943494554
75.25	0.0139902621254349
75.75	0.0198653723257303
76.25	0.0114757198954471
76.75	0.0124225713439371
77.25	0.0124899012684237
77.75	0.0198290198383685
78.25	0.0136980914179356
78.75	0.0213151418074938
79.25	0.0131674870716459
79.75	0.0104615593277611
80.25	0.0208806937296006
80.75	0.0167863952927997
81.25	0.0191928452275731
81.75	0.00868902266057944
82.25	0.0423376157363357
82.75	0.0316513965368661
83.25	0.0174049930941906
83.75	0.012532918684134
84.25	0.0142094673353441
84.75	0.0122965377663533
85.25	0.0132255920619091
85.75	0.0127226291377271
86.25	0.0179489359298686
86.75	0.0226851418776615
87.25	0.0241235214061756
87.75	0.0175652503687139
88.25	0.0120508421417913
88.75	0.0113873579443741
89.25	0.0140925146181228
89.75	0.0142776913880785
90.25	0.0159161907626564
90.75	0.00873986931099741
91.25	0.0157180024179857
91.75	0.0151420722907921
92.25	0.0137277607389174
92.75	0.00989681386269183
93.25	0.00917949346899914
93.75	0.0121156225099294
94.25	0.00995876280413262
94.75	0.0104233361418079
95.25	0.0120701387217141
95.75	0.0217530609182294
96.25	0.0305817920193039
96.75	0.0259603853279033
97.25	0.0114460964786939
97.75	0.0150519307187495
98.25	0.0128083013918758
98.75	0.00844572995955148
99.25	0.0130503085066419
99.75	0.00918809600393441
100.25	0.00745476696215383
100.75	0.00918125813464839
101.25	0.0103047676284835
101.75	0.0246287293077613
102.25	0.00857571637498706
102.75	0.269226035749145
103.25	0.367924113163542
103.75	0.332251473295012
104.25	0.516339128423014
104.75	0.387332930664643
105.25	0.407884685488704
105.75	0.393099003629718
106.25	0.307300484292533
106.75	0.21283722620098
107.25	0.335283673852361
107.75	0.0216249815361936
108.25	0.0467973207361385
108.75	0.316100235934889
109.25	0.481327556921944
109.75	0.469825832183299
110.25	0.472088622669251
110.75	0.423437242276027
111.25	0.466491971178253
