depth	min	max	median	mean
175	117.7	161.5	137.2	137.8
176	118.7	162.6	138.2	138.8
177	119.8	163.7	139.2	139.9
178	120.6	164.8	140.2	140.9
179	121.6	165.8	141.2	141.9
180	122.5	167.1	142.2	142.9
181	123.4	168.1	143.3	144
182	124.5	169.1	144.2	145
183	125.6	170.3	145.2	146
184	126.4	171.7	146.2	147
185	127.4	172.7	147.2	148.1
186	128.3	173.8	148.3	149.1
187	129.4	174.8	149.3	150.1
188	130.2	176	150.3	151.2
189	131.3	177.3	151.4	152.2
190	132.1	178.5	152.5	153.2
191	133.1	179.7	153.6	154.3
192	134.4	180.9	154.6	155.3
193	135.4	181.7	155.6	156.3
194	136.3	182.9	156.7	157.4
195	137.4	183.9	157.7	158.4
196	138.3	185.5	158.7	159.4
197	139.5	186.6	159.7	160.5
198	140.4	187.5	160.7	161.5
199	141.4	188.4	161.8	162.6
200	142.2	189.7	162.9	163.6
201	143	191	164	164.6
202	143.8	192.3	165.1	165.6
203	144.6	193.6	166.2	166.6
204	145.4	194.9	167.3	167.6
205	146.2	196.2	168.4	168.6
206	147	197.5	169.5	169.6
207	147.8	198.8	170.6	170.6
208	148.6	200.1	171.7	171.6
209	149.4	201.4	172.8	172.6
210	150.2	202.7	173.9	173.6
211	151	204	175	174.6
212	151.8	205.3	176.1	175.6
213	152.6	206.599999999999	177.2	176.6
214	153.4	207.9	178.3	177.6
215	154.2	209.2	179.4	178.6
216	155	210.5	180.5	179.6
217	155.8	211.8	181.6	180.6
218	156.599999999999	213.099999999999	182.7	181.6
219	157.4	214.4	183.8	182.6
220	158.2	215.7	184.9	183.6
221	159	217	186	184.6
222	159.8	218.299999999999	187.1	185.6
223	160.599999999999	219.599999999999	188.2	186.6
224	161.399999999999	220.9	189.3	187.6
225	162.2	222.2	190.4	188.599999999999
226	163	223.499999999999	191.5	189.6
227	163.799999999999	224.799999999999	192.599999999999	190.6
228	164.599999999999	226.099999999999	193.7	191.599999999999
229	165.4	227.4	194.799999999999	192.6
230	166.2	228.7	195.900000000001	193.599999999999
231	166.999999999999	229.999999999999	197	194.6
232	167.799999999999	231.299999999999	198.099999999999	195.6
233	168.599999999999	232.599999999999	199.2	196.599999999999
234	169.4	233.9	200.299999999999	197.6
235	170.2	235.2	201.400000000001	198.599999999999
236	170.999999999999	236.499999999999	202.5	199.6
237	171.799999999999	237.799999999999	203.599999999999	200.6
238	172.599999999999	239.099999999999	204.7	201.599999999999
239	173.4	240.4	205.799999999999	202.6
240	174.2	241.7	206.900000000001	203.599999999999
241	174.999999999999	242.999999999999	208	204.6
